
running 1 test
mzhl -> 4
mndb -> 2
zrrt -> 8
qqln -> 5
lnbh -> 3
wssm -> 15
rqhw -> 23
jjqm -> 3
wtlh -> 69
vgjb -> 897
dqsb -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897
nwfz -> 2
fjhb -> 5
dbpj -> 10
wnhl -> 3
vtbn -> 3
jrmp -> 9
hzjq -> 3
qprs -> 27
pgnw -> 37
bfwb -> 4
dmfh -> 5
bhtn -> 3
bsct -> 15
glph -> 60
fdwr -> 97
drwh -> 3
jltr -> 291
nbgv -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291
hpts -> 4
zjlf -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4
zbfz -> 14
fsmr -> 2
vfzj -> 5
dcsd -> 2
hpbd -> 10
mfzw -> 20
nvfz -> 280
btqq -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280
swgh -> 4
tmnd -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4
bnbd -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285
zdhv -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10
ljlt -> 5
nwsq -> 2
ztdb -> 10
cgsb -> 3
qgzc -> 13
jsdq -> 3
rjqp -> 4
cwpq -> 3
vctc -> 12
ljpn -> 36
hbqf -> 3
dbjp -> 4
zvbd -> 7
gvqp -> 29
jspv -> 2
qhnn -> 31
zrhn -> 44
bfpp -> 17
mnsg -> 61
jdjw -> 2
hbtm -> 122
gvwq -> 2
lgvb -> 244
cnvh -> 3
pmlz -> 3
fbpt -> 9
lvsl -> 2
pfvw -> 11
rncq -> 7
jqzb -> 77
qrng -> 4
plrj -> 2
cflb -> 5
dlrn -> 7
gphr -> 28
vqrb -> 105
ljtw -> 5
slmv -> 21
vhhz -> 6
qnlq -> 15
nmsf -> 2
zhpz -> 3
brpf -> 6
dnjq -> 21
fztr -> 3
ttgq -> 63
qdhf -> 181
dfmv -> 3
jwbg -> 543
gpdp -> 3
nnnm -> 181
rscw -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181
fwnw -> 3
nzql -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3
rlbw -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234
mnrg -> 2
qznw -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2
lgch -> 3
whtj -> 3
sjvl -> 20
glvd -> 23
dgwj -> 69
bqdp -> 2
dgjt -> 4
lbpq -> 6
dssw -> 5
mzlc -> 30
jqbv -> 7
nbfz -> 210
qmvt -> 279
gsbf -> 3
wdtn -> 93
tdfz -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93
pvsp -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2
vfft -> 3
ghtr -> 11
gzbb -> 3
brdz -> 10
phmw -> 13
cvtm -> 143
cfpc -> 2
nwhh -> 6
gfwm -> 3
bsst -> 9
zggd -> 18
bsbj -> 4
lpmt -> 14
rzsb -> 157
ljgl -> 471
lpnt -> 3
wgjr -> 157
mgfm -> 8
bmrq -> 2
lvhb -> 6
rtcs -> 942
hptv -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942
zndn -> 8
ldnz -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8
tdsw -> 11
gdpm -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11
tptb -> 3
fsnw -> 4
nvcm -> 3
tspq -> 7
vvrq -> 21
bpdc -> 2
bfsf -> 19
vftj -> 4
lwnl -> 76
cmlf -> 5
rpsl -> 380
twcf -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380
llfg -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7
qmfw -> 2
bdwt -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2
cglv -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112
jvqg -> 2
qwfl -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2
wzvh -> 8
vhmb -> 6
tqsf -> 4
tctl -> 3
jdcr -> 2
wqjm -> 6
gnbz -> 24
vslw -> 1
vszb -> 25
qfdw -> 31
jhqz -> 248
cfpj -> 2
mpmv -> 124
lfpz -> 5
pgsr -> 620
msjb -> 17
frhs -> 4
gzgt -> 9
rdmd -> 3
ggsg -> 2
srfc -> 6
nghl -> 15
hfth -> 60
tgdl -> 5
dvzl -> 12
clsg -> 204
wtpr -> 824
zwmj -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824
ffng -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2
stjn -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50
dfzf -> 6
zwpb -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6
pbpb -> 4
qhhc -> 2
pbhl -> 17
sbpf -> 34
pmtb -> 136
jtrr -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136
tnvc -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18
czlj -> 4
nclh -> 5
mdmc -> 20
wdnv -> 2
znrl -> 5
jjpd -> 5
rngf -> 25
grrg -> 2
jpcd -> 50
dpzb -> 52
dzwm -> 4
hbzt -> 2
jgqn -> 8
dwvb -> 44
rftj -> 880
cpvc -> 5
fzvq -> 176
sgjw -> 5
zvgv -> 181
jvcs -> 2
pgrb -> 362
pwwf -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362
vqzz -> 2
mmcj -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2
mcbr -> 4
nwbr -> 4
nrjs -> 16
nrtr -> 9
gwmr -> 3
rnlp -> 3
mwtl -> 9
shtp -> 81
bzrd -> 20
vfws -> 61
tsnt -> 976
ldfb -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976
pwrh -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2
qrtj -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316
gdrg -> 2
fvfr -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2
dgjm -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355
pcqd -> 3
fvrd -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3
twgq -> 15
rmtl -> 4
dvmm -> 60
pzcl -> 1
rzcn -> 61
ftjz -> 1
wzmw -> 2
wvfg -> 9
rfgn -> 18
mgwr -> 2
ngjw -> 6
qpts -> 12
rpwm -> 30
tmbc -> 31
bpcr -> 2
tbfg -> 4
nzlw -> 5
tfgt -> 5
lvtr -> 25
lnnt -> 29
jnzm -> 58
wlqz -> 14
qlnm -> 72
vrtf -> 103
slrs -> 164
lwmr -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164
fppq -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164,*2
tqfm -> 10
lwst -> 2
zfrt -> 8
vcwq -> 4
qnjp -> 2
vdjc -> 8
vrjq -> 64
bbtw -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164,*2,+64
tfzh -> 2
shrn -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164,*2,+64,*2
qznc -> 11
sznn -> 1
gwsr -> 16
jscj -> 17
chvz -> 187
fbqh -> 13
zbfq -> 2
hrhd -> 26
lzqw -> 213
pnbv -> 3
vsrl -> 2
fwwm -> 6
fgwt -> 1
cbsj -> 7
tjpf -> 3
rbgw -> 4
mjms -> 12
ljmb -> 19
twvz -> 12
nptf -> 3
sdml -> 3
mppv -> 9
nclr -> 21
wsqs -> 40
znch -> 173
hwqp -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164,*2,+64,*2,-173
dnnz -> 3
vfvp -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164,*2,+64,*2,-173,/3
nsjq -> 4
hcrc -> 10
cpvv -> 3
pgpp -> 14
dqbh -> 2
mvnq -> 7
fdft -> 21
rbvg -> 31
tblv -> 3
lcqr -> 93
zbpb -> 372
mtqj -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164,*2,+64,*2,-173,/3,+372
vtth -> 7
cfth -> 3
pnvw -> 3
sqts -> 5
svzw -> 15
csjh -> 45
lmnb -> 3
csbn -> 3
pbbs -> 9
vsfn -> 3
vshp -> 8
tjqn -> 11
zwgm -> 2
hzpt -> 22
jhrq -> 31
vfrb -> 2
fqrw -> 62
wsld -> 107
sjcl -> 749
rqnr -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164,*2,+64,*2,-173,/3,+372,+749
qlvz -> 12
jntq -> 2
lmcb -> 10
gzcm -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164,*2,+64,*2,-173,/3,+372,+749,/10
hfrb -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164,*2,+64,*2,-173,/3,+372,+749,/10,-3872582054047
dvhd -> 9
mrcb -> 3
zhcg -> 27
bjgs -> +0,+86,*40,-517,+778,+403,/4,-937,*3,+638,/5,-740,+579,/2,+757,*8,-750,*2,+275,+449,/6,-801,/5,+959,*16,-890,*2,+897,+291,/4,-280,/4,+285,*10,-181,/3,+234,*2,-93,*2,+942,/8,-11,+380,+7,/2,+112,*2,-824,*2,+50,/6,-136,*18,+362,/2,-976,*2,+316,/2,+355,/3,-164,*2,+64,*2,-173,/3,+372,+749,/10,-3872582054047,*27
qqhp -> 3
msjr -> 14
tdgv -> 4
vcft -> 5
ljgq -> 3
zphc -> 13
hlbw -> 2
scwf -> 26
hsgp -> 78
gljz -> 83
tsbv -> 332
gdnr -> 4648
mgqp -> 17
cjpm -> 2
tlpf -> 34
hnlg -> 3
wdvg -> 3
fmll -> 9
qzdw -> 5
gtdv -> 45
zbmf -> 79
jfjr -> 4
jbjs -> 19
blcp -> 15
ddfl -> 1
cmpt -> 14
twjs -> 2
pslb -> 7
tgqf -> 2
zgqj -> 14
rtld -> 2
bbnf -> 28
hccw -> 47
rshp -> 188
nwrg -> 2
gqlz -> 94
qnms -> 2
sssd -> 2
hdlf -> 13
mnwn -> 4
tpdq -> 17
ttlz -> 19
lphd -> 7
msbn -> 4
cgpf -> 28
zsld -> 47
nmfn -> 3
llzf -> 3
svpq -> 2
gcdv -> 5
fbdp -> 7
tdbw -> 21
glst -> 24
ghdf -> 71
ndsc -> 142
rlhl -> 236
whjc -> 2
jfnb -> 118
mdmh -> 2
pvsh -> 59
fjjp -> 4661
frwq -> 9309
prsn -> 2
pzhv -> 5
wnjd -> 3
prrw -> 15
cngm -> 2
qtfn -> 5
jbdb -> 10
gdmz -> 2
fwwt -> 20
htgs -> 4
cqpw -> 80
dtpm -> 2
jsjh -> 11
clgv -> 22
rrsz -> 2
gqqc -> 5
brnp -> 7
fsnz -> 15
scqc -> 4
gbfc -> 8
bfng -> 32
ggrq -> 47
zhsh -> 2
vztr -> 94
rjjp -> 3
pczc -> 4
qvhm -> 7
thlb -> 101
gbgm -> 181
dzdb -> 2715
mcqj -> 16
shpb -> 4
qdvf -> 64
fvzd -> 5
sqbs -> 18
smzt -> 23
gmlp -> 2
rhpp -> 46
fhpb -> 2944
wsnw -> 5659
mmrz -> 11318
lbnr -> 5
lzvg -> 19
svmd -> 5
lzgp -> 2
vhhr -> 10
jwpc -> 29
jcvn -> 4
nnwn -> 15
sfbr -> 4
tctc -> 11
nltt -> 44
jzml -> 4
cbbc -> 176
rjtd -> 205
bjrg -> 1025
gphl -> 12343
hdnw -> 21652
fwqm -> 2
ftsh -> 4
tqgz -> 8
psrc -> 9
lwbr -> 17
cznw -> 4
tfqt -> 68
nbwv -> 1
ttcj -> 16
zrlq -> 17
wlpw -> 3
mjsq -> 3
djrf -> 9
wfqv -> 14
gqmv -> 4
tfnn -> 10
qbjj -> 2
lphc -> 20
rdtm -> 180
jvrt -> 2
lctt -> 182
ccmv -> 199
cdbz -> 2
gsfz -> 398
tvgh -> 4
rfrm -> 12
mbff -> 17
zjzj -> 29
jjfl -> 2
tmbt -> 31
bpvv -> 2
zwgv -> 3
pcdc -> 6
vmdn -> 37
drtb -> 15
wfdp -> 52
gwhf -> 2
lnph -> 26
vhzh -> 104
znvv -> 502
rqbf -> 570
tswc -> 3
mdpw -> 3
hzjw -> 3
vzvb -> 9
dpwn -> 3
tsvv -> 6
pbdn -> 5
nnqq -> 11
whpf -> 3
qtcw -> 2
fllz -> 6
jbdz -> 20
jwms -> 26
vqmf -> 2
qpcj -> 4
czsn -> 8
hgtt -> 18
plmj -> 29
snlm -> 87
vpth -> 14
cnrm -> 73
fzvm -> 4
jbvc -> 2
rhzt -> 5
dpqc -> 10
qctd -> 40
vjsb -> 113
jjbd -> 457
fthb -> 2
drrc -> 2
wnhh -> 5
tlws -> 3
cjwc -> 3
vvfc -> 9
lrzp -> 14
cgdf -> 28
fnln -> 30
qszd -> 3
bwdw -> 3
qctr -> 9
wvpp -> 270
hpjh -> 727
mgbl -> 3
blrj -> 3
dszw -> 9
njnh -> 6543
sqdv -> 3
lhcb -> 9
mbnn -> 27
snpt -> 176661
njbt -> 198313
pmdd -> 594939
dzhg -> 19
dcch -> 17
ztzg -> 323
drtp -> 5
vqcd -> 2
vfzg -> 10
pjhf -> 4
thfb -> 14
vghs -> 2
tnhv -> 15
grmd -> 4
mtwr -> 11
lqvn -> 22
mqfm -> 2
fzpl -> 11
bnns -> 2
zhcm -> 22
qgsd -> 3
rdcj -> 19
vshl -> 33
zfwb -> 3
zjth -> 2
gmwb -> 3
mgjg -> 3
znrs -> 9
cmqw -> 19
jlcz -> 2
czds -> 38
qpmb -> 47
pwsd -> 6
pdbc -> 41
dfqm -> 82
ghlr -> 246
csdp -> 2
ndgq -> 123
thbs -> 156
rtpg -> 2
zrrj -> 78
ftdn -> 245
dmbg -> 2
jqvd -> 2
ncrl -> 4
mhcv -> 8
nrpc -> 2
qdtw -> 16
clgw -> 11
vtgg -> 1
hsht -> 12
hmsc -> 28
nntz -> 56
lcqh -> 5
wbjq -> 5
bqbl -> 25
smwn -> 81
qdbn -> 326
rbgz -> 4
pcvg -> 2
zdpd -> 5
dwnz -> 10
nphv -> 5
pgbh -> 2
pcmv -> 3
jgwv -> 6
dpnh -> 2
lzwn -> 3
szmg -> 6
rlct -> 12
jntw -> 2
bzzp -> 24
drcc -> 29
zqcw -> 2
jvpm -> 58
sfvz -> 68
gnql -> 2
lmzr -> 136
wnpv -> 15
spwz -> 2
nvrd -> 13
vmhz -> 3
rbbt -> 39
jcgq -> 97
zhcf -> 101
nbsj -> 2
qtmc -> 202
jlbb -> 2
smtf -> 101
nfsd -> 3
rwwn -> 3
fbzh -> 2
cphf -> 6
npvp -> 9
gsfn -> 15
qsjv -> 135
cjwq -> 236
zdjr -> 1
tmbb -> 20
vlmp -> 21
jzlh -> 7
zhlt -> 147
gmph -> 383
njvh -> 12
wjrz -> 3
qnsv -> 36
trpv -> 14
bnvc -> 2
ffbh -> 7
lflt -> 29
hlrs -> 354
cgtv -> 115404
lmhg -> 3
ftpt -> 8
stpn -> 11
tzvw -> 2
hsbm -> 11
vbpj -> 22
fpzt -> 242
ddlp -> 12
qtfs -> 5
jqsd -> 5
twfs -> 25
cdzm -> 37
pqhl -> 8954
rszb -> 8
jrzf -> 7
bwwj -> 2
tmht -> 2
cqgw -> 4
mgms -> 8
vjgw -> 10
pcdj -> 1
zwdd -> 11
vzmp -> 1
wnnq -> 12
zhhs -> 2
sgdt -> 6
rszz -> 13
tdcv -> 2
qvmh -> 26
zzqr -> 208
mlpw -> 11
htpc -> 2
stdh -> 22
pdwq -> 3
rlrs -> 3
zjcd -> 9
qgnz -> 1
hhpr -> 8
tptl -> 30
hbtz -> 2
nmbw -> 28
zqjj -> 5
qvtg -> 3
rmbs -> 3
lmvs -> 3
dvcn -> 9
vfsr -> 27
vfhs -> 2
nhdg -> 29
hfqq -> 145
zlvl -> 173
znlj -> 381
cqlc -> 10
csjm -> 391
rrss -> 2
qdsv -> 782
llbt -> 9736
llqg -> 3
ptlp -> 11
msvj -> 33
hzvr -> 7
ftrm -> 26
lgwg -> 1
dbwg -> 2
dfbp -> 5
tqrr -> 10
dwfw -> 11
hbgh -> 4
pmdj -> 3
jtfh -> 11
cwcv -> 33
sqng -> 37
zmtn -> 407
jsns -> 433
zcwd -> 14
zbqc -> 3
rbhd -> 17
nfrf -> 12
ljfh -> 29
fpgt -> 1
hvmb -> 2
lhst -> 4
bswt -> 6
jbrh -> 7
gfts -> 22
thnb -> 9526
rnzm -> 19262
qztm -> 16
pmrv -> 3
qsjt -> 3
qmtd -> 18
bvdp -> 54
vrfw -> 2
wjcj -> 27
sjct -> 81
zqtv -> 97
vlnn -> 9
ggpf -> 5
frcr -> 5
jcjm -> 25
lcpg -> 2
gnzm -> 50
tpnp -> 59
hbdf -> 5723
smml -> 15
wfsd -> 2
lnwr -> 9
znjh -> 2
rmml -> 19
pscr -> 3
wttp -> 57
cfbs -> 2
pwzw -> 59
nfjw -> 118
tgsz -> 127
vnsc -> 254
lhbf -> 3810
hcgb -> 9533
nzwq -> 2
wbgv -> 12
tqsq -> 24
znfr -> 228792
vrjw -> 8
wqnn -> 28599
rclw -> 47861
mnbl -> 163265
nfbh -> 13
clrz -> 6
lmld -> 19
rglf -> 4
djrv -> 23
mbhf -> 5
npnl -> 115
vdbp -> 2
bqmq -> 2
pfzj -> 5
lgns -> 7
rvhc -> 16
rzrv -> 112
dzfh -> 2
qcfb -> 4
gzct -> 8
ctmd -> 14
nmrb -> 28
snct -> 3
cvtc -> 4
